# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 32332326048
#
# Overhead       Samples  Command      Shared Object         Symbol                                     
# ........  ............  ...........  ....................  ...........................................
#
     0.04%             1  python       python3.10            [.] unicode_find.lto_priv.0
     0.04%             1  python       libcrypto.so.3        [.] OPENSSL_LH_retrieve
     0.04%             1  python       python3.10            [.] PyObject_Size
     0.04%             1  python       python3.10            [.] cm_descr_get.lto_priv.0
     0.04%             1  python3      python3.10            [.] PyDict_SetDefault
     0.04%             1  python       python3.10            [.] mro_implementation.lto_priv.0
     0.04%             1  python       python3.10            [.] PyObject_Hash
     0.04%             1  python       python3.10            [.] primary_rule
     0.04%             1  python       python3.10            [.] _PyObject_Malloc.lto_priv.0
     0.04%             1  python       python3.10            [.] dict_dealloc.lto_priv.0
     0.04%             1  python       python3.10            [.] min_max.lto_priv.0
     0.04%             1  python       python3.10            [.] simple_stmts_rule.lto_priv.0
     0.04%             1  python       python3.10            [.] PyObject_GetIter
